Date,NVDA,V,LLY,META,TJX,COST,ADP,JNJ
2014-01-02,0.37390583753585815,50.96152114868164,40.43244552612305,54.41149139404297,27.124004364013672,94.14236450195312,54.52500534057617,66.1108627319336
2014-01-03,0.36942657828330994,50.996116638183594,40.72734069824219,54.2623176574707,27.17526626586914,93.72683715820312,55.118988037109375,66.70639038085938
2014-01-06,0.37437742948532104,50.68943786621094,41.070045471191406,56.887908935546875,26.880447387695312,93.01561737060547,54.49086380004883,67.05499267578125
2014-01-07,0.38050711154937744,51.076820373535156,40.799068450927734,57.60397720336914,26.995813369750977,92.5840835571289,55.15315246582031,68.47845458984375
2014-01-08,0.3856935203075409,51.24055099487305,40.73529815673828,57.91229248046875,27.132545471191406,91.13772583007812,54.859554290771484,68.3840560913086
2014-01-09,0.37131261825561523,51.16904830932617,41.18960189819336,56.90780258178711,27.055633544921875,94.7017593383789,55.05074691772461,68.79798126220703
2014-01-10,0.3708411157131195,50.989173889160156,41.388851165771484,57.62386703491211,27.3675537109375,94.17431640625,54.859554290771484,68.80525970458984
2014-01-13,0.3621181845664978,50.47500228881836,41.500431060791016,55.60494613647461,26.880447387695312,91.71306610107422,53.971961975097656,68.6309814453125
2014-01-14,0.37343427538871765,51.339691162109375,41.795326232910156,57.424964904785156,26.859085083007812,92.8797836303711,54.58644485473633,68.79074096679688
2014-01-15,0.37744221091270447,51.59562683105469,42.56843566894531,57.28572463989258,26.726625442504883,92.88774871826172,54.682044982910156,68.84883117675781
2014-01-16,0.3786209523677826,51.136783599853516,44.07479476928711,56.877960205078125,26.547170639038086,92.34435272216797,54.49086380004883,68.7326431274414
2014-01-17,0.37697067856788635,53.537166595458984,43.96320724487305,55.992820739746094,26.431800842285156,92.927734375,54.600101470947266,69.03768157958984
2014-01-21,0.37838515639305115,53.4795036315918,44.305904388427734,58.19076156616211,25.726778030395508,91.84097290039062,54.839088439941406,68.28963470458984
2014-01-22,0.3779137134552002,53.72392654418945,44.313880920410156,57.19621276855469,25.29094886779785,90.89800262451172,54.880062103271484,68.50023651123047
2014-01-23,0.3764991760253906,52.6309700012207,43.95524978637695,56.321022033691406,24.953393936157227,90.13884735107422,54.149505615234375,67.3527603149414
2014-01-24,0.36683326959609985,51.01686477661133,43.134315490722656,54.152915954589844,24.675661087036133,89.60343170166016,52.55183410644531,65.80582427978516
2014-01-27,0.36447563767433167,49.857025146484375,43.142276763916016,53.25782775878906,24.8252010345459,90.36257934570312,52.23094177246094,65.3192367553711
2014-01-28,0.36801210045814514,50.94999694824219,43.22198486328125,54.839149475097656,24.846574783325195,91.40143585205078,52.59280776977539,65.43544006347656
2014-01-29,0.36447563767433167,50.06455993652344,42.9669303894043,53.23793411254883,24.46202278137207,89.6833724975586,52.25143051147461,64.56392669677734
2014-01-30,0.37060534954071045,50.93154525756836,42.45684814453125,60.74673843383789,24.57310676574707,90.08293151855469,52.77714538574219,64.99972534179688
2014-01-31,0.37013378739356995,49.674869537353516,43.0466423034668,62.22861099243164,24.50901985168457,89.78726196289062,52.299224853515625,64.25165557861328
2014-02-03,0.3651830554008484,49.22292709350586,41.970672607421875,61.144561767578125,24.030460357666016,88.0451889038086,50.57866287231445,63.0242805480957
2014-02-04,0.36730480194091797,49.46965026855469,42.32135772705078,62.407630920410156,23.94072914123535,88.6125717163086,51.17266845703125,62.908084869384766
2014-02-05,0.3640041649341583,49.71635818481445,42.01850128173828,61.85068130493164,24.692758560180664,88.30890655517578,50.20315170288086,63.38742446899414
2014-02-06,0.368719220161438,50.50035858154297,42.01850128173828,61.82085037231445,25.376405715942383,91.30554962158203,50.660614013671875,64.45500946044922
2014-02-07,0.3741416037082672,51.139076232910156,42.40902328491211,63.96906661987305,25.39349937438965,91.12974548339844,51.13169479370117,65.39186096191406
2014-02-10,0.3753204643726349,50.85544204711914,43.01475524902344,63.20326232910156,25.32085418701172,90.9779281616211,50.831298828125,66.13990783691406
2014-02-11,0.383100301027298,51.265907287597656,43.44513702392578,64.49617767333984,25.682798385620117,91.88887786865234,50.974674224853516,67.5197982788086
2014-02-12,0.39677396416664124,51.78333282470703,42.88218307495117,64.09834289550781,25.755613327026367,91.99304962158203,51.60280227661133,67.12034606933594
2014-02-13,0.4092690646648407,51.755615234375,43.0108528137207,66.962646484375,25.77275276184082,92.7943115234375,52.03294372558594,67.22205352783203
2014-02-14,0.42223548889160156,52.20606994628906,43.589908599853516,66.72394561767578,25.609983444213867,93.02664184570312,52.073909759521484,67.36730194091797
2014-02-18,0.4219996929168701,52.21993637084961,44.434349060058594,66.93280792236328,25.798450469970703,92.43374633789062,52.22411346435547,66.93878936767578
2014-02-19,0.4276579022407532,51.71636199951172,46.71841049194336,67.68865966796875,25.63568115234375,92.07318878173828,51.991973876953125,66.55388641357422
2014-02-20,0.442746102809906,51.619327545166016,46.68624496459961,69.25009155273438,25.70849609375,92.193359375,52.23777770996094,67.09131622314453
2014-02-21,0.43944549560546875,51.59624481201172,46.613853454589844,68.21575927734375,25.73419761657715,90.69499206542969,52.026119232177734,66.94501495361328
2014-02-24,0.44581082463264465,52.24995422363281,46.670143127441406,70.39380645751953,25.866979598999023,91.29592895507812,52.43575668334961,66.64509582519531
2014-02-25,0.44379785656929016,52.462486267089844,47.03207015991211,69.4688949584961,26.123985290527344,92.51387786865234,52.57915115356445,66.64509582519531
2014-02-26,0.44308745861053467,52.23147964477539,47.17683792114258,68.88211059570312,25.82415199279785,92.85041046142578,52.859073638916016,66.64509582519531
